,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency,latitude,longitude
22,23,Orchard,ION Orchard,1.30403 103.83206,440,C,LTA,1.30403,103.83206
23,14,Orchard,Wisma Atria,1.30366 103.83327,-25,C,LTA,1.30366,103.83327
24,8,Orchard,The Heeren,1.30255 103.83739,108,C,LTA,1.30255,103.83739
25,26,Harbfront,Resorts World Sentosa,1.25667 103.82012,2045,C,LTA,1.25667,103.82012
26,27,Orchard,Orchard Central,1.30072 103.83979,162,C,LTA,1.30072,103.83979
27,29,Marina,Marina Bay Sands,1.28225028515239 103.858300275795,0,C,LTA,1.28225028515239,103.858300275795
28,43,JurongLakeDistrict,Westgate,1.3343 103.74282,93,C,LTA,1.3343,103.74282
29,52,Orchard,Orchard Gateway,1.30048 103.83931,76,C,LTA,1.30048,103.83931
30,53,JurongLakeDistrict,IMM Building,1.334847 103.746815,0,C,LTA,1.334847,103.746815
31,54,JurongLakeDistrict,JCube,1.33341 103.740088,114,C,LTA,1.33341,103.740088
32,55,Orchard,Paragon,1.3038 103.83585,102,C,LTA,1.3038,103.83585
33,56,Marina,National Gallery,1.29027 103.85167,113,C,LTA,1.29027,103.85167
34,57,Orchard,The Atrium@Orchard,1.299781 103.84552,45,C,LTA,1.299781,103.84552
35,58,Others,Bukit Panjang Plaza,1.37974 103.7644,152,C,LTA,1.37974,103.7644
36,59,Others,Clarke Quay,1.290678 103.84648,295,C,LTA,1.290678,103.84648
37,60,Others,The Star Vista,1.306787 103.78843,768,C,LTA,1.306787,103.78843
38,61,Others,Bugis+,1.299748 103.85414,25,C,LTA,1.299748,103.85414
39,62,Others,Lot One,1.385126 103.74494,172,C,LTA,1.385126,103.74494
40,63,Others,Tampines Mall,1.352524 103.9447,110,C,LTA,1.352524,103.9447
41,64,Others,Junction 8,1.350521 103.84859,73,C,LTA,1.350521,103.84859
42,65,Others,Bedok Mall,1.3248 103.92939,47,C,LTA,1.3248,103.92939
43,66,Others,Funan Mall,1.2911 103.8502,13,C,LTA,1.2911,103.8502
44,A2,,BLK 206/207 ANG MO KIO STREET 22,1.366237056 103.8430464,127,C,HDB,1.366237056,103.8430464
45,A4,,BLK 217/220 ANG MO KIO AVENUE 1,1.365691621 103.8411922,178,C,HDB,1.365691621,103.8411922
46,A7,,BLK 212/213 ANG MO KIO STREET 23,1.368392487 103.8413018,147,C,HDB,1.368392487,103.8413018
47,A8,,BLK 209/210 ANG MO KIO STREET 22,1.368756071 103.8433077,11,C,HDB,1.368756071,103.8433077
48,A9,,BLK 202/203 ANG MO KIO STREET 22,1.36807437 103.8443922,49,C,HDB,1.36807437,103.8443922
49,B6,,BLK 204/209 NEW UPPER CHANGI ROAD,1.326330497 103.9303395,296,C,HDB,1.326330497,103.9303395
50,B7,,BLK 211/218 BEDOK NORTH STREET 1,1.32513124 103.9319217,0,C,HDB,1.32513124,103.9319217
51,B8,,BLK 201/203 BEDOK NORTH STREET 1,1.325881496 103.9282762,20,C,HDB,1.325881496,103.9282762
52,B9,,BLK 402/403 BEDOK NORTH AVENUE 3,1.330172709 103.9338152,115,C,HDB,1.330172709,103.9338152
53,C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,84,Y,HDB,1.313102659,103.7695739
54,C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,0,H,HDB,1.313102659,103.7695739
55,C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,168,C,HDB,1.313102659,103.7695739
56,C6,,BLK 328-334 CLEMENTI AVE 2,1.314488114 103.7676912,101,C,HDB,1.314488114,103.7676912
57,C7,,BLK 349-355 CLEMENTI AVE 2,1.314842819 103.7705785,166,C,HDB,1.314842819,103.7705785
58,C8,,BLK 335/338 CLEMENTI AVE 2,1.316674657 103.7686311,231,C,HDB,1.316674657,103.7686311
59,C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,62,Y,HDB,1.317649249,103.7703123
60,C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,0,H,HDB,1.317649249,103.7703123
61,C9,,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,151,C,HDB,1.317649249,103.7703123
62,CY,,BLK 269/269A/269B CHENG YAN COURT CAR PARK,1.300626028 103.8536649,0,C,HDB,1.300626028,103.8536649
63,H3,,BLK 87 ZION RD,1.291008687 103.8325154,0,H,HDB,1.291008687,103.8325154
