,facility_name,facility_type,address,lat,long,modified_name,google_place_id,num_ratings,avg_rating,W,weighted_rating
1201,Chong Pang CC,Community Centre,21 Yishun Ring Road 768677,1.43083237048448,103.829234874916,Chong Pang CC 21 Yishun Ring Road,ChIJWVsDIZ8R2jERmT7O182Vx_E,586.0,4.1,0.011879903501125144,4.152521698822913
1202,Chua Chu Kang CC,Community Centre,35 Teck Whye Avenue 688892,1.38115529003064,103.751903886481,Chua Chu Kang CC 35 Teck Whye Avenue,ChIJJYncfsAR2jERVE0WPGMg8Bg,848.0,4.0,0.017191396192754477,4.150520236619129
1203,Ci Yuan CC,Community Centre,51 Hougang Avenue 9 538776,1.37514897825787,103.882894179307,Ci Yuan CC 51 Hougang Avenue 9,ChIJWzXCpUUW2jERt2u2OJN48A8,2726.0,4.2,0.05526385144038762,4.155742090337749
1204,Clementi CC,Community Centre,220 Clementi Avenue 4 129880,1.31881518814763,103.768153686645,Clementi CC 220 Clementi Avenue 4,ChIJq6qq2oUa2jERdIXhE3knPCM,695.0,4.2,0.014089646643825896,4.153813208671603
1205,Dover CC,Community Centre,1 Dover Road 130001,1.302529944662,103.783271666717,Dover CC 1 Dover Road,ChIJne3DvFsa2jERsTuGZx6qCCU,64.0,4.1,0.0012974638636041114,4.153084188857702
1206,Eunos CC,Community Centre,180 Bedok Reservoir Road 479220,1.33255277788544,103.91514355252,Eunos CC 180 Bedok Reservoir Road,ChIJ9_sDMFY92jER6lZa-OzEpPk,36.0,3.7,0.0007298234232773126,4.1528224313676505
1208,Fuchun CC,Community Centre,1 Woodlands Street 31 738581,1.42952981919595,103.774811855067,Fuchun CC 1 Woodlands Street 31,ChIJi9wyTU0S2jERfruoX_LK3Pg,413.0,4.0,0.008372696494820281,4.151870848284577
1209,Tampines Central CC,Community Centre,1 Tampines Walk 528523,1.35349615471813,103.939683594446,Tampines Central CC 1 Tampines Walk,ChIJaVxBXnI92jERxPbiDq-exX8,269.0,4.0,0.0054534028017110305,4.152317947318657
1210,Tampines Changkat CC,Community Centre,13 Tampines Street 11 529453,1.3458133461735,103.947687834643,Tampines Changkat CC 13 Tampines Street 11,ChIJlyeQWRs92jERmiqRUmFZzVQ,247.0,4.2,0.005007399598597117,4.153387734035251
1211,Tampines East CC,Community Centre,10 Tampines Street 23 529341,1.35335682593433,103.954620461629,Tampines East CC 10 Tampines Street 23,ChIJHUdUUBs92jERPczmLaekY60,63.0,4.4,0.001277190990735297,4.153468423722038
1212,Tampines North CC,Community Centre,2 Tampines Street 41 529204,1.35736478775974,103.946602685067,Tampines North CC 2 Tampines Street 41,ChIJJxiLHg892jER1e5MNA9iGKI,357.0,4.0,0.007237415614166683,4.152044720131164
1213,Tampines West CC,Community Centre,5 Tampines Avenue 3 529705,1.34875076398822,103.935633408895,Tampines West CC 5 Tampines Avenue 3,ChIJW2RO4zE92jERB0zfdzfmxzc,4.0,5.0,8.109149147525696e-05,4.153221825227016
1214,Tanglin CC,Community Centre,245 Whitley Road 297829,1.32338446818001,103.826877183466,Tanglin CC 245 Whitley Road,ChIJia6dov4Z2jERjdeO3xGAx8U,237.0,4.2,0.004804670869908975,4.153378236833546
1215,Tanjong Pagar CC,Community Centre,101 Cantonment Road 89774,1.27616698002633,103.841584210034,Tanjong Pagar CC 101 Cantonment Roa,ChIJoSghZGwZ2jERh4q9jEcnnXM,583.0,4.3,0.011819084882518701,4.154888748500767
1216,Teck Ghee CC,Community Centre,861 Ang Mo Kio Avenue 10 569734,1.36308867917974,103.853536076665,Teck Ghee CC 861 Ang Mo Kio Avenue 10,ChIJgzz7dR0X2jERCfhmeqRQOtw,713.0,4.4,0.014454558355464553,4.156721215305764
1217,Telok Blangah CC,Community Centre,450 Telok Blangah Street 31 108943,1.27486265663736,103.807875435609,Telok Blangah CC 450 Telok Blangah Street 31,ChIJ44exaL0b2jERbSxwV6gNBdw,118.0,4.3,0.0023921989985200803,4.1535044400331165
1218,The Frontier CC,Community Centre,60 Jurong West Central 3 648346,1.34046956412475,103.704452685304,The Frontier CC 60 Jurong West Central 3,ChIJd4ldQJMP2jERlQdLPkzVa4A,329.0,4.2,0.0066697751738398845,4.153465611089225
1219,The Serangoon CC,Community Centre,10 Serangoon North Avenue 2 555877,1.37005486240283,103.873927617452,The Serangoon CC 10 Serangoon North Avenue 2,ChIJ53wZNFEW2jERdlyymTEEgn0,848.0,4.1,0.017191396192754477,4.152239376238404
1220,Thomson CC (U/C),Community Centre,194 Upper Thomson Road 574339,1.35125385335026,103.83626228639,Thomson CC (U/C) 194 Upper Thomson Road,ChIJ____tzsX2jERls-eAOVGUBQ,172.0,3.9,0.0034869341334360492,4.152270424782437
1221,Tiong Bahru CC,Community Centre,67A Eu Chin Street 169715,1.28345251714882,103.831882714575,Tiong Bahru CC 67A Eu Chin Street,ChIJScI1FHoZ2jERNfs4hj7_ytE,301.0,4.2,0.006102134733513086,4.153439018924454
1222,Toa Payoh Central CC,Community Centre,93 Toa Payoh Central 319194,1.33493451709456,103.850204545922,Toa Payoh Central CC 93 Toa Payoh Central,ChIJn_jTdGYX2jERiaGsaLpEkaQ,261.0,4.0,0.005291219818760517,4.152342786153884
1223,Toa Payoh East CC,Community Centre,160 Lorong 6 Toa Payoh 319380,1.33627489206396,103.85470024903,Toa Payoh East CC 160 Lorong 6 Toa Payoh,ChIJ__M9jW8X2jERDBEGQCQ2fJU,167.0,4.0,0.003385569769091978,4.152634642467797
1224,Toa Payoh South CC,Community Centre,1999 Lorong 8 Toa Payoh 319258,1.33489037046643,103.859378979813,Toa Payoh South CC 1999 Lorong 8 Toa Payoh,ChIJk5MlfXoX2jERuQq2GKQ5PRQ,150.0,4.1,0.003040930930322136,4.1529915180856865
